,MT-TOPSIS,TOPSIS,SPOTIS,VIKOR
VIKOR,0.557997557997558,0.9236874236874237,0.9169719169719169,1.0
SPOTIS,0.5457875457875457,0.9920634920634921,1.0,0.9169719169719169
TOPSIS,0.5299145299145299,1.0,0.9920634920634921,0.9236874236874237
MT-TOPSIS,1.0,0.5299145299145299,0.5457875457875457,0.557997557997558
