Ai,MT-TOPSIS,TOPSIS,SPOTIS,VIKOR
BE,10,10,10,15
BG,17,21,20,20
CZ,6,12,12,10
DK,2,3,3,3
DE,12,24,25,22
EE,16,5,5,4
IE,19,11,11,13
EL,24,18,17,23
ES,27,26,26,25
FR,18,23,23,18
HR,1,14,14,12
IT,21,27,27,27
CY,26,17,19,17
LV,11,6,6,8
LT,8,4,2,5
LU,20,13,13,19
HU,9,20,18,16
MT,22,22,22,24
NL,4,9,9,14
AT,14,8,8,6
PL,7,19,21,21
PT,23,15,16,9
RO,25,25,24,26
SI,13,7,7,7
SK,5,16,15,11
FI,15,2,4,2
SE,3,1,1,1
