Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Belgium,68.5,2.67,82.14,9.113,48.49,36.1,70.82,8.9,45.9,2300
Bulgaria,71.1,0.74,60.88,18.701,18.32,9.89,26.53,12.7,32.8,2767
Czechia,78.5,1.77,65.56,14.796,40.35,25.5,62.4,6.7,34.2,1267
Denmark,76.6,2.93,70.67,34.677,17.4,14.58,32.68,8.8,48.4,980
Germany (until 1990 former territory of the FRG),79.2,3.05,73.22,15.476,298.12,218.62,466.87,10.1,34,15516
Estonia,78.7,1.28,52.26,29.168,5.65,2.87,6.21,10.8,48.4,305
Ireland,73,1.26,113.29,10.465,14.36,11.85,43.83,5,54.5,1088
Greece,57.8,1.15,93.62,17.3,23.24,16.42,45.45,6,43.7,3702
Spain,65.5,1.21,121.49,17.563,124.94,84.75,201.11,18.3,41.2,12236
France,71.3,2.2,86.35,15.904,239.19,149.46,352.8,8.8,44.4,10717
Croatia,63.6,0.86,78.71,27.28,8.33,6.92,16.67,3.1,28.7,1085
Italy,62.3,1.37,85.05,18.267,148.95,115.19,270.15,14,26.9,17407
Cyprus,70.8,0.55,155.75,10.503,2.53,1.86,4.27,8.5,55.9,215
Latvia,74.6,0.51,43.94,39.019,4.47,4.01,9.24,8.6,43.8,544
Lithuania,76,0.9,43.24,26.039,6.16,5.34,14.13,5.4,58,843
Luxembourg,71.5,1.27,90.88,6.198,4.29,4.18,8.74,7.3,52.7,114
Hungary,75.4,1.32,68.25,13.543,24.46,18.5,43.14,12.5,32.1,2465
Malta,73,0.55,93.45,7.219,0.81,0.62,1.43,14,33.5,87
Netherlands,78,2.18,90.78,6.456,64.87,50.16,102.33,7.1,47.9,2864
Austria,75.4,3.06,106.17,33.141,32.82,28.53,51.65,7.4,40.8,1563
Poland,70.9,1.03,87.7,11.117,99.08,70.9,211.51,5,45.7,7273
Portugal,72.5,1.32,123.78,30.614,22.81,16.56,40.19,12.6,33.5,2399
Romania,68.8,0.5,47.39,24.454,32.46,23.33,75.36,18.1,26.3,7040
Slovenia,73.4,1.87,93.47,21.658,6.73,4.95,10.88,4.3,46.4,345
Slovakia,71.1,0.89,59.31,11.465,16.15,11.13,21.25,9.3,34.3,856
Finland,74.2,2.73,79.59,40.917,32.09,25.26,30.06,8.2,44.6,849
Sweden,81.8,3.36,76.52,54.157,46.35,32.14,32.53,7.7,51.3,1765
type,1,1,-1,1,-1,-1,-1,-1,1,-1
